,h3_8,h3_9,zone_id,zone_code,zone_category,h3_population_constrained,n_accomadation,unique_accomadation_category
1561,888c1078edfffff,898c1078ecbffff,3171090#898c1078ecbffff#z1,z1,housing_area,861,0,0
1562,888c107807fffff,898c107806fffff,3171090#898c107806fffff#z1,z1,housing_area,720,0,0
1563,888c107803fffff,898c107802fffff,3171090#898c107802fffff#z2,z2,hotel_area,711,1,1
1564,888c107831fffff,898c107830fffff,3171090#898c107830fffff#z1,z1,housing_area,1031,0,0
1565,888c10781dfffff,898c10781c7ffff,3171090#898c10781c7ffff#z1,z1,housing_area,556,0,0
1566,888c107839fffff,898c1078383ffff,3171090#898c1078383ffff#z1,z1,housing_area,430,0,0
1567,888c107833fffff,898c1078333ffff,3171090#898c1078333ffff#z1,z1,housing_area,289,0,0
1568,888c107807fffff,898c1078077ffff,3171090#898c1078077ffff#z1,z1,housing_area,559,0,0
1569,888c10781dfffff,898c10781c3ffff,3171090#898c10781c3ffff#z1,z1,housing_area,140,0,0
1570,888c1078edfffff,898c1078ecfffff,3171090#898c1078ecfffff#z1,z1,housing_area,437,0,0
1571,888c10783dfffff,898c10783d3ffff,3171090#898c10783d3ffff#z1,z1,housing_area,881,0,0
1572,888c10781dfffff,898c10781cbffff,3171090#898c10781cbffff#z1,z1,housing_area,559,0,0
1573,888c1078e9fffff,898c1078e93ffff,3171090#898c1078e93ffff#z1,z1,housing_area,566,0,0
1574,888c10780bfffff,898c10780afffff,3171090#898c10780afffff#z2,z2,hotel_area,1343,2,2
1575,888c107807fffff,898c1078063ffff,3171090#898c1078063ffff#z1,z1,housing_area,429,0,0
1576,888c107837fffff,898c107836fffff,3171090#898c107836fffff#z2,z2,hotel_area,482,1,0
1577,888c107833fffff,898c1078337ffff,3171090#898c1078337ffff#z2,z2,hotel_area,576,1,1
1578,888c1078e9fffff,898c1078e9bffff,3171090#898c1078e9bffff#z1,z1,housing_area,855,0,0
1579,888c107837fffff,898c107836bffff,3171090#898c107836bffff#z1,z1,housing_area,161,0,0
1580,888c107801fffff,898c107800fffff,3171090#898c107800fffff#z1,z1,housing_area,564,0,0
1581,888c107835fffff,898c1078343ffff,3171090#898c1078343ffff#z2,z2,hotel_area,819,1,1
1582,888c10783dfffff,898c10783dbffff,3171090#898c10783dbffff#z1,z1,housing_area,328,0,0
